Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
01/14/2022,11/20/2021,Eastern Region,Partially Vaccinated,103,6,1,761876
01/14/2022,03/27/2021,Northwest Region,Unvaccinated,1442,28,14,5874242
01/14/2022,10/23/2021,Northwest Region,Fully Vaccinated,518,18,8,5317385
01/14/2022,01/01/2022,Eastern Region,Partially Vaccinated,1842,109,1,797749
01/14/2022,04/03/2021,Northern Region,Fully Vaccinated,48,0,0,1786946
01/14/2022,03/13/2021,Northwest Region,Unvaccinated,1422,28,23,6631890
01/14/2022,10/02/2021,Central Region,Partially Vaccinated,178,2,2,578281
01/14/2022,02/06/2021,Southwest Region,Unvaccinated,2667,111,48,7577823
01/14/2022,05/22/2021,Northern Region,Unvaccinated,428,9,4,3898955
01/14/2022,02/27/2021,Southwest Region,Unvaccinated,1428,66,16,7175693
01/14/2022,10/30/2021,Northern Region,Partially Vaccinated,117,4,0,597418
01/14/2022,06/26/2021,Eastern Region,Unvaccinated,266,21,9,3752780
01/14/2022,10/09/2021,Northwest Region,Partially Vaccinated,212,4,3,578256
01/14/2022,01/30/2021,Northern Region,Fully Vaccinated,3,0,0,153503
01/14/2022,12/11/2021,Eastern Region,Partially Vaccinated,169,4,0,743536
01/14/2022,03/06/2021,Southwest Region,Unvaccinated,1411,58,56,6911547
01/14/2022,06/05/2021,Central Region,Partially Vaccinated,11,1,0,685671
01/14/2022,12/11/2021,Northern Region,Fully Vaccinated,1291,20,3,5662497
01/14/2022,02/27/2021,Eastern Region,Unvaccinated,2592,95,27,7175693
01/14/2022,11/20/2021,Northwest Region,Partially Vaccinated,109,4,2,761876
01/14/2022,05/29/2021,Southwest Region,Partially Vaccinated,34,4,0,734372
01/14/2022,09/18/2021,Northwest Region,Fully Vaccinated,811,34,17,5104850
01/14/2022,10/02/2021,Southwest Region,Unvaccinated,3541,114,65,2760178
01/14/2022,04/24/2021,Northwest Region,Partially Vaccinated,120,9,4,1189279
01/14/2022,03/06/2021,Eastern Region,Unvaccinated,2263,100,61,6911547
01/14/2022,07/24/2021,Eastern Region,Unvaccinated,1213,71,8,3347954
01/14/2022,07/03/2021,Northern Region,Fully Vaccinated,67,1,1,4561247
01/14/2022,03/27/2021,Northern Region,Unvaccinated,2606,56,9,5874242
01/14/2022,05/15/2021,Central Region,Fully Vaccinated,33,1,0,3632238
01/14/2022,04/10/2021,Central Region,Partially Vaccinated,183,16,4,1305740
01/14/2022,10/02/2021,Eastern Region,Fully Vaccinated,846,19,12,5197060
01/14/2022,05/29/2021,Southwest Region,Unvaccinated,388,22,8,3777360
01/14/2022,09/18/2021,Northwest Region,Unvaccinated,3993,105,49,2841797
01/14/2022,05/22/2021,Northwest Region,Partially Vaccinated,25,2,0,764707
01/14/2022,03/27/2021,Northwest Region,Fully Vaccinated,25,0,0,1505328
01/14/2022,06/05/2021,Central Region,Fully Vaccinated,15,2,0,4148382
01/14/2022,01/08/2022,Northwest Region,Fully Vaccinated,1118,16,0,5795428
01/14/2022,10/16/2021,Eastern Region,Partially Vaccinated,135,6,0,576740
01/14/2022,11/13/2021,Central Region,Partially Vaccinated,86,2,1,702602
01/14/2022,10/02/2021,Central Region,Unvaccinated,2428,51,31,2760178
01/14/2022,08/14/2021,Northern Region,Unvaccinated,1527,55,11,3139868
01/14/2022,07/10/2021,Central Region,Partially Vaccinated,26,0,0,482709
01/14/2022,03/13/2021,Southwest Region,Fully Vaccinated,7,2,0,1121422
01/14/2022,10/09/2021,Eastern Region,Unvaccinated,2282,67,35,2718608
01/14/2022,01/23/2021,Eastern Region,Partially Vaccinated,221,9,12,447186
01/14/2022,01/23/2021,Southwest Region,Fully Vaccinated,1,0,0,90457
01/14/2022,11/06/2021,Eastern Region,Fully Vaccinated,391,10,2,5396705
01/14/2022,07/17/2021,Central Region,Unvaccinated,588,14,7,3399979
01/14/2022,10/23/2021,Eastern Region,Partially Vaccinated,104,3,1,586192
01/14/2022,12/11/2021,Southwest Region,Unvaccinated,2881,108,48,2129486
01/14/2022,09/25/2021,Northwest Region,Fully Vaccinated,762,27,12,5157704
01/14/2022,08/14/2021,Eastern Region,Partially Vaccinated,279,12,4,574925
01/14/2022,09/18/2021,Northern Region,Unvaccinated,2212,48,9,2841797
01/14/2022,09/04/2021,Northern Region,Partially Vaccinated,206,4,1,593885
01/14/2022,10/02/2021,Northwest Region,Fully Vaccinated,706,31,10,5197060
01/14/2022,02/27/2021,Southwest Region,Partially Vaccinated,61,6,6,579900
01/14/2022,06/12/2021,Northern Region,Partially Vaccinated,18,0,0,591685
01/14/2022,08/21/2021,Eastern Region,Fully Vaccinated,1020,31,25,4873135
01/14/2022,07/24/2021,Eastern Region,Fully Vaccinated,270,15,4,4697306
01/14/2022,02/20/2021,Southwest Region,Fully Vaccinated,9,4,0,552658
01/14/2022,09/11/2021,Central Region,Unvaccinated,3468,44,42,2895033
01/14/2022,09/04/2021,Eastern Region,Partially Vaccinated,358,12,4,593885
01/14/2022,05/01/2021,Central Region,Unvaccinated,1005,34,7,4363885
01/14/2022,09/04/2021,Central Region,Fully Vaccinated,507,14,14,4993792
01/14/2022,12/25/2021,Central Region,Fully Vaccinated,858,6,0,5732931
01/14/2022,02/06/2021,Eastern Region,Fully Vaccinated,0,0,0,246824
01/14/2022,09/11/2021,Northern Region,Partially Vaccinated,233,7,2,593528
01/14/2022,07/03/2021,Southwest Region,Unvaccinated,285,28,6,3482613
01/14/2022,07/31/2021,Southwest Region,Partially Vaccinated,49,6,0,515097
01/14/2022,11/27/2021,Northwest Region,Fully Vaccinated,599,20,8,5490978
01/14/2022,12/18/2021,Northwest Region,Unvaccinated,3272,70,16,2073282
01/14/2022,08/21/2021,Northern Region,Partially Vaccinated,216,9,2,587824
01/14/2022,11/13/2021,Northern Region,Fully Vaccinated,802,13,3,5430758
01/14/2022,06/26/2021,Southwest Region,Unvaccinated,232,22,6,3752780
01/14/2022,03/13/2021,Central Region,Unvaccinated,1633,42,36,6631890
01/14/2022,03/27/2021,Northern Region,Partially Vaccinated,244,11,3,1155949
01/14/2022,01/23/2021,Northwest Region,Fully Vaccinated,0,0,0,90457
01/14/2022,02/27/2021,Central Region,Partially Vaccinated,74,14,2,579900
01/14/2022,05/08/2021,Northwest Region,Partially Vaccinated,87,4,1,929542
01/14/2022,05/15/2021,Northwest Region,Fully Vaccinated,39,3,0,3632238
01/14/2022,07/03/2021,Central Region,Partially Vaccinated,12,1,0,491659
01/14/2022,02/13/2021,Northern Region,Partially Vaccinated,110,12,4,688248
01/14/2022,04/17/2021,Southwest Region,Fully Vaccinated,65,8,3,2439116
01/14/2022,10/02/2021,Eastern Region,Partially Vaccinated,246,7,4,578281
01/14/2022,12/11/2021,Southwest Region,Fully Vaccinated,761,24,11,5662497
01/14/2022,01/23/2021,Northern Region,Partially Vaccinated,151,10,8,447186
01/14/2022,06/05/2021,Northwest Region,Fully Vaccinated,28,0,0,4148382
01/14/2022,04/10/2021,Northwest Region,Unvaccinated,1485,59,14,5130433
01/14/2022,11/13/2021,Northwest Region,Fully Vaccinated,596,19,4,5430758
01/14/2022,10/09/2021,Northern Region,Fully Vaccinated,799,15,2,5238655
01/14/2022,11/20/2021,Northern Region,Fully Vaccinated,819,6,4,5462903
01/14/2022,12/18/2021,Eastern Region,Unvaccinated,2646,114,4,2073282
01/14/2022,06/26/2021,Northwest Region,Fully Vaccinated,32,2,0,4301948
01/14/2022,05/22/2021,Central Region,Unvaccinated,392,14,6,3898955
01/14/2022,12/18/2021,Southwest Region,Partially Vaccinated,200,6,2,755729
01/14/2022,08/07/2021,Northwest Region,Partially Vaccinated,117,5,0,549765
01/14/2022,01/08/2022,Northern Region,Unvaccinated,31029,234,3,1926541
01/14/2022,02/27/2021,Eastern Region,Partially Vaccinated,93,14,10,579900
01/14/2022,12/25/2021,Eastern Region,Fully Vaccinated,1719,88,1,5732931
01/14/2022,03/06/2021,Eastern Region,Fully Vaccinated,9,0,0,951871
01/14/2022,03/20/2021,Northern Region,Unvaccinated,2472,54,22,6335092
01/14/2022,04/24/2021,Northern Region,Fully Vaccinated,57,5,4,2767562
01/14/2022,07/17/2021,Southwest Region,Fully Vaccinated,119,24,5,4656723
01/14/2022,06/05/2021,Eastern Region,Fully Vaccinated,21,5,2,4148382
01/14/2022,05/29/2021,Northern Region,Fully Vaccinated,29,3,1,4023787
01/14/2022,07/31/2021,Central Region,Unvaccinated,1471,33,24,3284461
01/14/2022,10/30/2021,Eastern Region,Partially Vaccinated,113,4,2,597418
01/14/2022,05/08/2021,Northwest Region,Unvaccinated,807,26,11,4226049
01/14/2022,07/03/2021,Northern Region,Partially Vaccinated,26,1,0,491659
01/14/2022,05/15/2021,Central Region,Unvaccinated,522,16,7,4090528
01/14/2022,06/12/2021,Northwest Region,Unvaccinated,197,9,3,3634796
01/14/2022,01/30/2021,Central Region,Unvaccinated,4475,97,53,7745838
01/14/2022,09/04/2021,Central Region,Unvaccinated,3666,48,40,2947842
01/14/2022,07/17/2021,Northern Region,Partially Vaccinated,56,3,1,478817
01/14/2022,03/13/2021,Northern Region,Unvaccinated,2410,52,19,6631890
01/14/2022,07/03/2021,Southwest Region,Fully Vaccinated,42,0,0,4561247
01/14/2022,03/13/2021,Eastern Region,Fully Vaccinated,15,0,0,1121422
01/14/2022,01/01/2022,Northwest Region,Fully Vaccinated,1574,27,2,5764540
01/14/2022,01/23/2021,Northwest Region,Unvaccinated,4068,114,43,7997876
01/14/2022,02/27/2021,Northwest Region,Fully Vaccinated,5,3,1,779926
01/14/2022,02/20/2021,Northwest Region,Partially Vaccinated,84,6,1,633018
01/14/2022,12/25/2021,Northern Region,Unvaccinated,14939,306,2,2024077
01/14/2022,01/01/2022,Northwest Region,Partially Vaccinated,977,14,0,797749
01/14/2022,01/23/2021,Central Region,Unvaccinated,5438,99,88,7997876
01/14/2022,03/27/2021,Southwest Region,Fully Vaccinated,30,4,2,1505328
01/14/2022,02/13/2021,Eastern Region,Unvaccinated,4053,154,51,7458288
01/14/2022,11/27/2021,Central Region,Partially Vaccinated,102,1,3,789719
01/14/2022,10/09/2021,Southwest Region,Unvaccinated,2945,104,50,2718608
01/14/2022,12/18/2021,Northwest Region,Partially Vaccinated,287,7,0,755729
01/14/2022,11/27/2021,Southwest Region,Unvaccinated,1994,87,39,2254822
01/14/2022,11/06/2021,Southwest Region,Unvaccinated,1633,58,30,2514369
01/14/2022,06/26/2021,Southwest Region,Partially Vaccinated,7,3,0,480791
01/14/2022,02/20/2021,Eastern Region,Fully Vaccinated,11,0,0,552658
01/14/2022,05/01/2021,Southwest Region,Unvaccinated,1028,75,21,4363885
01/14/2022,12/18/2021,Northern Region,Unvaccinated,5735,59,5,2073282
01/14/2022,04/24/2021,Northern Region,Partially Vaccinated,269,18,0,1189279
01/14/2022,08/28/2021,Central Region,Unvaccinated,3612,48,47,3009411
01/14/2022,02/06/2021,Central Region,Fully Vaccinated,4,0,0,246824
01/14/2022,11/13/2021,Northern Region,Partially Vaccinated,138,1,0,702602
01/14/2022,11/06/2021,Northwest Region,Unvaccinated,1432,35,15,2514369
01/14/2022,10/09/2021,Central Region,Partially Vaccinated,147,3,1,578256
01/14/2022,06/26/2021,Eastern Region,Fully Vaccinated,25,3,2,4301948
01/14/2022,05/29/2021,Northwest Region,Partially Vaccinated,23,3,0,734372
01/14/2022,02/20/2021,Eastern Region,Unvaccinated,3328,148,42,7349843
01/14/2022,04/17/2021,Central Region,Partially Vaccinated,181,8,6,1259960
01/14/2022,08/21/2021,Southwest Region,Partially Vaccinated,187,11,2,587824
01/14/2022,02/27/2021,Northern Region,Unvaccinated,2622,38,3,7175693
01/14/2022,07/31/2021,Central Region,Partially Vaccinated,117,2,5,515097
01/14/2022,12/04/2021,Northwest Region,Partially Vaccinated,199,6,3,758030
01/14/2022,10/09/2021,Northwest Region,Unvaccinated,2370,65,31,2718608
01/14/2022,07/17/2021,Central Region,Partially Vaccinated,26,0,0,478817
01/14/2022,12/18/2021,Central Region,Unvaccinated,3211,41,10,2073282
01/14/2022,10/30/2021,Southwest Region,Unvaccinated,1689,68,42,2581956
01/14/2022,06/19/2021,Central Region,Partially Vaccinated,16,2,0,528571
01/14/2022,10/30/2021,Northern Region,Fully Vaccinated,554,6,2,5356145
01/14/2022,02/13/2021,Southwest Region,Unvaccinated,2134,85,37,7458288
01/14/2022,11/27/2021,Northwest Region,Partially Vaccinated,122,0,2,789719
01/14/2022,01/01/2022,Northwest Region,Unvaccinated,13170,165,23,1973230
01/14/2022,04/17/2021,Northern Region,Partially Vaccinated,339,10,5,1259960
01/14/2022,07/17/2021,Northern Region,Unvaccinated,447,14,1,3399979
01/14/2022,08/14/2021,Northwest Region,Fully Vaccinated,504,22,5,4820726
01/14/2022,05/01/2021,Southwest Region,Fully Vaccinated,62,10,3,3105550
01/14/2022,02/20/2021,Northern Region,Unvaccinated,2677,42,10,7349843
01/14/2022,11/13/2021,Central Region,Unvaccinated,1201,26,16,2402159
01/14/2022,12/04/2021,Central Region,Partially Vaccinated,133,4,3,758030
01/14/2022,12/18/2021,Eastern Region,Partially Vaccinated,280,9,0,755729
01/14/2022,01/08/2022,Southwest Region,Partially Vaccinated,893,2,0,813550
01/14/2022,04/24/2021,Eastern Region,Partially Vaccinated,141,10,3,1189279
01/14/2022,08/07/2021,Southwest Region,Unvaccinated,1741,92,33,3210294
01/14/2022,05/08/2021,Central Region,Unvaccinated,718,29,12,4226049
01/14/2022,02/13/2021,Southwest Region,Fully Vaccinated,6,0,1,388983
01/14/2022,11/20/2021,Eastern Region,Unvaccinated,1071,24,10,2310740
01/14/2022,07/10/2021,Eastern Region,Fully Vaccinated,75,1,2,4609556
01/14/2022,10/02/2021,Northern Region,Partially Vaccinated,161,5,2,578281
01/14/2022,05/29/2021,Northern Region,Partially Vaccinated,39,5,2,734372
01/14/2022,06/05/2021,Northern Region,Unvaccinated,269,11,4,3701466
01/14/2022,07/03/2021,Central Region,Fully Vaccinated,51,3,0,4561247
01/14/2022,07/10/2021,Central Region,Unvaccinated,349,10,2,3443254
01/14/2022,05/29/2021,Eastern Region,Partially Vaccinated,25,2,0,734372
01/14/2022,05/08/2021,Northern Region,Fully Vaccinated,60,4,3,3379928
01/14/2022,05/08/2021,Eastern Region,Unvaccinated,942,43,7,4226049
01/14/2022,08/07/2021,Eastern Region,Unvaccinated,2757,81,24,3210294
01/14/2022,08/28/2021,Eastern Region,Fully Vaccinated,1084,21,14,4933214
01/14/2022,11/13/2021,Southwest Region,Fully Vaccinated,595,18,16,5430758
01/14/2022,03/20/2021,Central Region,Partially Vaccinated,139,15,6,941023
01/14/2022,12/25/2021,Northwest Region,Fully Vaccinated,1431,23,1,5732931
01/14/2022,06/19/2021,Eastern Region,Partially Vaccinated,10,1,1,528571
